Valor glucosa mg/dl,mmol/L,17 bytes recibidos como notifiacion,Bits,Timestamp y informacion,Info sensor,bytes adicionales recibidos en ese tiempo,HardwareName
133,7.38,52-52-DC-50-A3-1F-06-FD-BF-C6-27-68-6C-74-A8-F1-54,0101001001010010110111000101000010100011000111110000011011111101101111111100011000100111011010000110110001110100101010001111000101010100,11:48:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
132,7.32,52-52-DC-5E-A2-1F-07-FD-4F-C7-11-68-6C-74-A8-5E-3E,0101001001010010110111000101111010100010000111110000011111111101010011111100011100010001011010000110110001110100101010000101111000111110,11:49:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
134,7.43,52-52-DC-58-A5-1F-05-FD-58-C7-33-68-6C-74-A8-B2-6F,0101001001010010110111000101100010100101000111110000010111111101010110001100011100110011011010000110110001110100101010001011001001101111,11:50:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 71-53-DD-A6-38-4E-1F-2C-9E-9B y (0x) 77-53-4F-F7-01-4B-27-76-0F-A7-F4-DB-21-31-B3-11-D8-34-C4-88-B6-41-7F-C2-E7-8B-6D-B6-4A-94-46-E6-65-6A-0F-29-88-C1-40-AA-7C-02-9A-8F-95-C4-3B-15-52-AD-AF-0A-B6-E8-20-0F,GX-01S
134,7.43,52-52-DC-5B-A4-1F-05-3D-4B-C7-11-68-6C-74-A8-FB-C8,0101001001010010110111000101101110100100000111110000010100111101010010111100011100010001011010000110110001110100101010001111101111001000,11:51:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
134,7.43,52-52-DC-5B-A7-1F-05-FD-B3-C6-11-68-6C-74-A8-C5-05,0101001001010010110111000101101110100111000111110000010111111101101100111100011000010001011010000110110001110100101010001100010100000101,11:52:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
133,7.38,52-52-DC-5A-A6-1F-06-FD-B8-C6-11-68-6C-74-A8-92-F3,0101001001010010110111000101101010100110000111110000011011111101101110001100011000010001011010000110110001110100101010001001001011110011,11:53:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
134,7.43,52-52-DC-58-99-1F-05-FD-B3-C6-11-68-6C-74-A8-67-17,0101001001010010110111000101100010011001000111110000010111111101101100111100011000010001011010000110110001110100101010000110011100010111,11:54:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
134,7.43,52-52-DC-58-98-1F-05-3D-BD-C6-11-68-6C-74-A8-F7-14,0101001001010010110111000101100010011000000111110000010100111101101111011100011000010001011010000110110001110100101010001111011100010100,11:55:29,LinX-222222XK45 (E4:06:BF:D9:51:39),(0x) 57-A9-D9-64-B6,GX-01S
132,7.32,52-52-DC-5D-9B-1F-07-FD-93-C6-1B-68-6C-74-A8-4A-D6,0101001001010010110111000101110110011011000111110000011111111101100100111100011000011011011010000110110001110100101010000100101011010110,11:56:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
132,7.32,52-52-DC-58-9A-1F-07-FD-BB-C6-1B-68-6C-74-A8-F9-BE,0101001001010010110111000101100010011010000111110000011111111101101110111100011000011011011010000110110001110100101010001111100110111110,11:57:29,LinX-222222XK45 (E4:06:BF:D9:51:39),None,GX-01S
